Hours_Studied,Attendance,Parental_Involvement,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Physical_Activity,Gender,Exam_Score
25,65,High,No,5,90,Medium,Yes,2,Medium,Medium,Public,3,Female,68
13,72,Low,No,6,93,Low,Yes,1,Low,Medium,Public,3,Male,61
21,65,Medium,Yes,7,91,Low,Yes,2,Medium,High,Public,3,Female,64
8,99,Medium,No,9,54,Low,Yes,2,Low,Medium,Public,5,Female,67
12,72,Low,Yes,8,84,Medium,Yes,1,Low,Medium,Public,5,Female,63
21,65,Low,Yes,6,98,Low,Yes,1,Medium,High,Public,4,Male,64
24,68,High,No,8,56,Low,Yes,3,High,High,Public,1,Male,67
21,84,Medium,Yes,6,52,Low,Yes,1,Medium,High,Public,2,Female,65
19,63,Low,No,7,94,Medium,Yes,1,Medium,Medium,Private,3,Male,64
18,94,Medium,Yes,7,82,Medium,Yes,3,Medium,Medium,Private,2,Male,70
11,98,Medium,Yes,9,82,Low,Yes,1,Medium,Medium,Private,3,Male,68
16,70,Medium,Yes,8,98,Medium,Yes,2,Medium,Medium,Public,3,Male,65
17,78,Medium,Yes,6,88,Medium,Yes,1,Medium,High,Private,3,Female,68
26,61,Medium,Yes,6,70,Medium,Yes,2,Low,Medium,Public,3,Female,64
22,86,Low,Yes,7,72,Low,Yes,3,Low,High,Public,2,Male,68
9,77,Medium,No,5,57,Medium,Yes,2,Medium,High,Public,3,Male,63
22,71,Low,Yes,7,65,Low,Yes,1,Medium,Low,Public,4,Male,64
18,68,High,No,7,72,Medium,Yes,0,Medium,Medium,Public,3,Male,64
16,86,Low,Yes,8,63,Medium,Yes,2,Medium,Medium,Public,4,Male,67
24,77,High,No,8,96,Medium,Yes,0,Medium,Medium,Public,3,Female,67
26,67,Medium,Yes,7,51,Low,Yes,2,High,High,Private,4,Female,66
26,88,Medium,Yes,5,79,Medium,Yes,1,Low,High,Private,4,Male,72
15,83,Medium,No,5,89,Low,No,1,Medium,High,Public,2,Female,65
18,94,Medium,Yes,6,87,High,Yes,1,Medium,Medium,Public,4,Male,71
22,65,High,No,8,82,Medium,Yes,2,Medium,High,Public,1,Female,66
26,91,Medium,Yes,8,71,Medium,Yes,0,Low,Medium,Private,3,Male,68
17,87,Medium,No,7,96,Medium,Yes,1,High,Medium,Public,5,Female,70
19,65,Medium,Yes,10,66,Low,Yes,0,Low,Medium,Public,3,Male,62
13,88,Low,Yes,9,88,High,Yes,2,Low,High,Private,4,Male,68
13,78,Medium,Yes,9,96,High,Yes,2,Low,Medium,Public,3,Male,67
25,98,Low,Yes,8,56,Medium,No,0,Medium,High,Private,3,Male,71
28,66,Medium,Yes,8,97,Medium,Yes,0,Medium,Medium,Public,2,Male,68
20,86,Medium,Yes,8,89,Medium,Yes,1,Low,Medium,Public,3,Male,69
26,75,Low,Yes,4,81,High,Yes,3,Medium,High,Private,2,Male,70
22,98,Medium,No,5,69,Low,No,1,Low,High,Public,4,Female,69
16,73,Medium,No,7,95,Medium,Yes,1,Low,Medium,Public,4,Male,65
22,98,Medium,Yes,7,52,Medium,No,3,Medium,Medium,Public,3,Female,70
29,96,Medium,Yes,7,72,Medium,Yes,1,Low,Medium,Public,3,Male,71
20,71,Medium,Yes,7,88,Medium,Yes,1,Low,Low,Public,4,Female,65
29,92,Low,No,4,91,Medium,Yes,2,Medium,Medium,Public,1,Female,72
4,100,High,Yes,8,60,High,Yes,0,Medium,High,Private,4,Male,69
25,70,Medium,No,7,52,Medium,Yes,1,Medium,Medium,Public,3,Female,66
21,77,Low,Yes,7,90,Medium,Yes,4,Medium,Medium,Private,3,Male,68
18,81,High,Yes,8,71,Medium,Yes,0,Medium,Medium,Public,3,Female,65
21,72,Medium,Yes,5,57,Medium,Yes,1,High,Medium,Public,5,Male,64
8,61,Medium,Yes,7,54,Medium,Yes,1,High,Medium,Public,3,Male,60
19,69,Medium,Yes,7,82,High,Yes,1,Low,Medium,Public,2,Male,65
22,71,High,No,6,79,High,Yes,1,Low,Low,Public,3,Male,66
29,78,High,Yes,4,93,Low,Yes,5,Medium,High,Public,3,Male,74
17,67,Medium,Yes,5,52,High,Yes,2,Medium,Medium,Private,3,Female,62
15,95,Medium,No,7,93,Medium,Yes,2,Low,Medium,Public,4,Male,70
17,88,Medium,Yes,7,94,Low,Yes,0,Medium,Medium,Public,3,Male,69
25,63,Medium,Yes,7,72,Medium,Yes,3,Medium,High,Private,4,Male,67
22,86,Low,No,6,54,Medium,Yes,2,Medium,Medium,Public,0,Male,64
17,86,Medium,No,5,97,High,Yes,3,High,Medium,Public,3,Male,71
23,98,Medium,Yes,7,54,Low,Yes,0,Medium,Medium,Public,3,Female,68
21,60,High,No,7,80,Medium,Yes,0,Medium,High,Public,4,Male,64
26,70,Medium,Yes,8,75,Medium,Yes,1,Medium,Low,Private,4,Female,63
16,97,Medium,Yes,6,92,Low,Yes,0,High,Medium,Private,4,Male,71
18,97,High,Yes,4,75,Low,Yes,0,Low,Medium,Public,3,Male,69
18,89,High,Yes,4,73,Medium,Yes,3,High,Medium,Private,2,Female,100
11,91,Medium,No,6,94,Medium,Yes,3,Medium,Medium,Public,3,Male,68
22,64,Low,No,7,98,Low,No,1,Medium,Medium,Public,3,Male,62
22,81,Medium,Yes,7,77,Low,Yes,2,Medium,Medium,Public,3,Female,68
20,69,High,Yes,6,73,Medium,Yes,2,Low,Medium,Private,3,Male,66
19,67,Low,No,5,92,High,Yes,0,Medium,Medium,Public,3,Male,64
12,92,Medium,No,4,92,High,Yes,2,Medium,High,Public,3,Male,67
17,65,Medium,Yes,8,66,Medium,Yes,1,High,High,Public,4,Female,65
18,79,Medium,Yes,7,79,Medium,Yes,0,Low,High,Private,3,Male,65
15,98,High,No,6,58,High,Yes,0,Low,High,Public,3,Male,69
19,67,Medium,No,5,82,High,Yes,1,Low,Low,Private,3,Male,63
22,99,Medium,Yes,6,92,Low,Yes,3,Medium,Medium,Public,4,Male,72
31,100,Medium,No,7,59,Medium,Yes,2,High,High,Public,5,Male,76
21,82,Medium,Yes,7,66,High,Yes,3,Low,Medium,Public,3,Female,69
22,67,Medium,Yes,7,72,High,Yes,3,Low,High,Public,2,Female,67
20,73,High,Yes,9,92,Medium,Yes,2,Medium,High,Public,3,Male,69
8,77,High,Yes,6,87,Medium,Yes,0,Low,Medium,Public,2,Male,63
20,72,Medium,No,9,66,Medium,Yes,3,Low,High,Private,3,Male,67
20,71,Low,Yes,7,62,High,Yes,2,Medium,Medium,Public,5,Male,66
35,99,High,Yes,7,85,Low,Yes,2,Medium,High,Private,2,Female,79
19,66,Medium,No,8,74,Medium,Yes,1,High,Medium,Public,3,Female,64
22,89,High,Yes,6,80,Medium,Yes,1,High,High,Public,3,Female,73
20,60,Low,No,7,82,High,Yes,2,Low,High,Public,4,Male,63
13,84,Medium,No,5,78,Medium,Yes,1,Low,High,Public,2,Male,65
27,97,Low,Yes,8,81,Medium,Yes,0,High,Medium,Public,5,Female,73
25,72,High,Yes,8,94,Low,Yes,2,Low,Medium,Private,4,Female,70
25,67,High,No,9,93,High,Yes,2,Low,High,Public,3,Female,68
15,86,Medium,Yes,7,57,Medium,Yes,1,Medium,Medium,Public,3,Male,65
28,89,Low,Yes,9,79,High,Yes,0,Low,Medium,Private,1,Female,71
12,88,Low,No,6,72,Low,Yes,2,Medium,Medium,Public,2,Male,64
24,73,Medium,Yes,8,64,Medium,Yes,4,High,Medium,Private,3,Male,68
33,70,Medium,Yes,6,82,Low,Yes,1,Low,High,Public,4,Male,69
14,98,Medium,No,7,76,Medium,Yes,0,Medium,High,Private,4,Female,69
17,97,Medium,No,8,89,Medium,Yes,1,Low,,Public,4,Male,69
21,78,Medium,Yes,10,55,Medium,Yes,1,High,Low,Private,2,Male,67
17,94,Low,Yes,8,65,Low,Yes,4,Medium,Medium,Public,6,Female,68
11,78,Medium,Yes,8,51,Medium,Yes,2,Low,Medium,Public,3,Male,64
20,77,Medium,No,6,87,Low,Yes,0,Low,High,Public,4,Female,66
14,66,High,No,7,96,Medium,Yes,3,Low,High,Public,3,Male,63
23,77,Medium,Yes,7,79,Medium,Yes,0,Low,High,Public,2,Male,66
14,81,Medium,No,9,81,Medium,Yes,1,Low,High,Private,3,Female,66
29,61,Medium,Yes,7,52,Low,Yes,3,Low,Medium,Private,3,Female,67
15,78,High,No,9,75,Low,Yes,1,Low,Medium,Public,1,Male,65
18,91,Low,Yes,5,76,Medium,Yes,1,Medium,Medium,Public,3,Female,68
25,87,Medium,No,9,52,High,Yes,1,Low,High,Private,2,Male,68
13,85,High,No,6,89,Medium,Yes,0,High,Medium,Private,1,Male,65
21,96,Medium,No,8,64,High,Yes,2,Medium,High,Public,0,Male,71
28,61,Medium,No,6,86,High,Yes,1,Low,Medium,Private,3,Male,65
10,82,Medium,No,8,70,Medium,Yes,3,Low,High,Public,1,Female,64
21,91,High,No,6,100,Medium,Yes,0,High,Medium,Private,2,Female,72
22,82,Medium,No,9,61,Medium,Yes,2,Low,Medium,Public,2,Female,65
25,73,Medium,No,8,53,High,No,0,Low,High,Private,5,Female,66
13,65,Low,No,6,99,Medium,Yes,0,Low,Medium,Private,4,Male,61
12,96,Low,Yes,8,62,Medium,Yes,2,Medium,High,Public,3,Female,68
23,79,High,Yes,8,82,Low,Yes,3,Medium,Medium,Public,3,Female,69
22,95,Medium,Yes,6,69,Medium,Yes,1,Low,Medium,Public,3,Female,72
22,83,Medium,Yes,5,82,Medium,Yes,2,Low,High,Public,3,Female,71
22,87,High,No,5,80,Low,Yes,2,Low,High,Public,3,Female,70
16,92,Medium,Yes,5,85,Low,Yes,1,Low,Medium,Public,2,Male,68
21,86,Low,Yes,5,51,Medium,Yes,2,Low,High,Public,2,Female,67
22,76,Medium,Yes,8,92,Medium,Yes,1,Low,High,Public,4,Female,68
16,81,Medium,Yes,8,74,Medium,Yes,3,Medium,Medium,Public,2,Female,68
31,92,Medium,Yes,4,76,Medium,Yes,2,Medium,High,Public,4,Male,72
23,75,Low,No,6,71,Low,Yes,0,Medium,Medium,Public,2,Male,65
13,76,Medium,No,5,99,Low,Yes,2,Medium,Medium,Private,4,Female,66
24,64,Medium,Yes,8,90,High,Yes,0,Low,High,Public,3,Male,65
14,97,Medium,Yes,6,66,Medium,Yes,2,Medium,Medium,Public,3,Female,67
25,64,Medium,No,5,89,Low,Yes,2,Medium,Medium,Public,4,Male,66
27,86,Medium,No,7,72,Low,Yes,1,Medium,High,Public,4,Male,69
15,77,Medium,Yes,8,94,Low,Yes,0,High,High,Public,3,Male,66
26,76,Medium,Yes,6,52,Medium,Yes,4,High,Low,Public,3,Male,69
22,87,High,Yes,7,68,Medium,No,0,Low,Medium,Public,2,Male,67
25,63,High,Yes,6,71,Medium,Yes,1,Medium,Low,Private,3,Male,66
31,84,Medium,Yes,9,87,Medium,Yes,2,Low,Medium,Private,3,Male,71
19,91,High,No,6,59,Medium,Yes,5,Medium,High,Public,4,Male,70
15,93,High,No,6,64,Medium,Yes,2,Medium,High,Public,4,Male,71
15,67,Medium,Yes,7,86,High,Yes,1,High,Medium,Private,3,Male,66
15,96,Medium,No,7,54,High,No,3,Medium,High,Public,2,Male,67
20,86,High,No,8,60,Medium,Yes,1,Medium,Medium,Public,4,Female,66
22,95,Medium,No,9,88,Low,Yes,0,Low,High,Public,2,Male,72
22,79,Medium,No,9,94,Medium,Yes,1,Medium,Medium,Public,3,Male,68
25,82,Medium,No,6,86,Medium,No,3,Low,High,Public,3,Female,69
20,97,Medium,Yes,7,76,Low,Yes,2,Low,Low,Private,3,Male,71
29,96,Medium,Yes,9,55,Low,No,0,Medium,Medium,Public,2,Female,70
18,78,Medium,No,9,91,High,Yes,2,High,Low,Public,4,Female,67
36,71,Medium,Yes,6,56,Medium,Yes,2,High,Medium,Public,2,Male,69
24,76,Low,No,8,69,Low,Yes,2,Medium,Medium,Public,1,Male,65
15,76,High,No,8,53,Medium,Yes,1,Low,Medium,Public,4,Male,65
14,71,Medium,Yes,8,85,Low,Yes,2,Medium,High,Public,4,Male,64
23,71,Low,Yes,9,75,Low,Yes,1,Low,Medium,Public,2,Male,63
19,94,Low,Yes,5,95,Medium,Yes,3,Low,Low,Public,2,Male,69
24,63,Medium,Yes,6,57,Medium,Yes,1,Low,High,Private,5,Female,64
23,87,High,Yes,8,91,High,Yes,0,High,Medium,Private,3,Male,72
20,67,Low,Yes,7,76,Medium,Yes,0,Medium,Medium,Public,4,Male,63
15,74,Low,Yes,4,68,Low,Yes,3,Low,Medium,Public,3,Female,64
11,62,Medium,Yes,5,82,Medium,Yes,3,High,Medium,Private,4,Male,64
17,71,Medium,Yes,8,90,Medium,Yes,5,Medium,Medium,Public,1,Male,67
25,91,Medium,No,8,72,Low,Yes,2,Medium,High,Public,0,Male,71
21,95,Medium,No,5,62,High,Yes,1,Medium,Low,Public,4,Male,70
13,69,Medium,Yes,9,96,Low,Yes,0,High,Medium,Private,4,Female,61
21,79,Medium,Yes,7,66,Low,Yes,2,Low,Medium,Public,4,Male,67
22,79,High,No,5,100,Medium,Yes,4,High,High,Public,3,Male,72
15,95,Low,Yes,6,88,Low,Yes,1,Low,Medium,Public,5,Male,66
21,91,Medium,Yes,5,84,Medium,Yes,1,High,Low,Public,2,Male,70
20,81,High,Yes,6,51,High,No,3,Medium,Medium,Public,4,Male,67
13,87,High,Yes,4,72,Medium,Yes,2,Medium,High,Public,3,Female,67
22,94,Low,Yes,7,75,High,Yes,2,High,Medium,Public,2,Female,71
23,60,High,Yes,8,69,Medium,Yes,1,Low,Medium,Private,4,Male,66
26,76,Medium,Yes,5,57,Medium,Yes,1,Medium,Medium,Public,4,Male,68
26,96,Medium,Yes,7,68,Medium,Yes,3,High,Medium,Private,3,Female,74
12,90,Medium,Yes,6,54,Medium,No,1,High,Medium,Public,3,Male,64
14,82,Medium,No,8,65,Medium,Yes,1,Low,Medium,Private,3,Male,65
23,81,Low,Yes,4,54,Medium,Yes,1,Low,Medium,Public,3,Male,66
23,74,Medium,Yes,8,88,Low,Yes,0,Medium,High,Public,3,Male,66
23,81,Medium,No,4,84,Medium,Yes,2,Medium,Medium,Public,5,Male,68
43,86,High,Yes,7,97,Medium,Yes,2,Medium,High,Public,1,Female,78
23,77,Medium,Yes,6,69,Low,Yes,1,Medium,Medium,Private,2,Female,67
27,89,Medium,Yes,6,89,Medium,Yes,3,Medium,Medium,Private,3,Male,74
26,94,Medium,No,5,79,High,Yes,1,Low,High,Public,2,Male,74
24,66,Medium,No,9,82,Low,Yes,1,Medium,Medium,Public,2,Female,62
18,78,High,Yes,5,77,Medium,No,2,Medium,Medium,Public,4,Male,66
25,76,Medium,Yes,5,89,High,Yes,3,Medium,High,Public,3,Female,69
15,87,Medium,Yes,10,52,Medium,Yes,2,Low,High,Private,3,Male,68
19,70,Medium,No,7,54,High,Yes,0,Medium,Medium,Public,2,Male,89
17,86,High,No,5,55,Low,No,2,High,Medium,Private,4,Male,66
20,95,Low,Yes,7,64,Low,No,2,Medium,High,Public,3,Female,68
34,77,Medium,Yes,7,80,Low,Yes,0,Medium,Medium,Public,3,Male,69
9,96,Medium,Yes,4,82,High,No,0,Low,Medium,Public,4,Male,67
24,100,High,Yes,6,86,Low,Yes,2,Medium,Medium,Private,5,Male,75
10,64,Medium,No,7,64,High,Yes,0,Medium,Medium,Public,4,Female,60
17,69,High,Yes,9,83,Medium,Yes,2,Medium,High,Private,4,Female,66
27,98,Low,Yes,7,56,Low,Yes,1,High,Medium,Private,3,Female,73
20,98,Medium,No,7,50,Low,Yes,1,Medium,High,Private,2,Female,68
14,64,Medium,Yes,6,85,Medium,Yes,0,Medium,Medium,Public,3,Male,62
16,61,Medium,No,9,86,Low,Yes,2,Low,High,Public,2,Male,62
24,66,High,Yes,8,81,High,Yes,1,Medium,Medium,Public,4,Male,65
16,100,High,Yes,8,63,High,Yes,2,Low,Medium,Public,3,Male,69
21,67,Medium,No,7,96,Low,Yes,3,Low,Medium,Public,2,Female,64
20,80,Medium,No,5,94,Medium,Yes,0,Low,Low,Private,4,Female,67
16,94,High,Yes,9,76,Medium,Yes,0,Low,High,Public,2,Male,70
33,61,Medium,No,7,99,High,Yes,2,Medium,High,Public,3,Female,70
24,84,High,No,7,65,Low,Yes,3,Medium,High,Public,3,Female,69
8,71,High,No,8,75,Medium,Yes,0,Medium,High,Public,3,Male,61
21,94,Medium,No,7,96,Low,Yes,0,Medium,Medium,Private,2,Male,69
16,71,High,Yes,5,73,Medium,Yes,1,Medium,Medium,Public,0,Male,63
25,87,Medium,Yes,7,74,Low,Yes,0,Medium,High,Public,4,Male,67
15,87,Low,No,4,54,Medium,Yes,1,Medium,Medium,Public,6,Male,65
19,69,Medium,Yes,7,61,High,Yes,3,High,High,Public,4,Male,66
23,61,Low,No,9,58,Medium,Yes,4,Medium,Medium,Public,2,Male,63
25,76,Medium,Yes,4,78,Medium,Yes,2,Medium,Medium,Private,3,Female,68
13,72,High,No,7,66,Medium,Yes,0,Low,High,Public,4,Male,65
18,92,Low,Yes,8,54,Medium,Yes,1,Medium,Medium,Public,3,Male,67
17,92,Low,Yes,8,75,Medium,Yes,2,Medium,High,Public,3,Female,68
16,78,Medium,No,6,83,Medium,Yes,0,Low,Low,Public,3,Male,64
31,84,Medium,No,5,87,High,Yes,0,Medium,Medium,Private,3,Male,71
22,84,Medium,Yes,6,92,Low,Yes,0,Medium,Medium,Public,5,Female,69
12,93,Medium,Yes,9,74,Low,Yes,1,Medium,Medium,Public,3,Male,67
26,77,Low,No,4,70,Low,Yes,2,High,Low,Public,3,Female,65
33,71,Low,No,5,84,Medium,Yes,1,Medium,Medium,Public,2,Male,68
26,71,High,Yes,6,51,Low,No,1,High,Medium,Private,3,Male,67
11,81,Medium,Yes,6,82,High,Yes,3,Medium,High,Public,4,Male,67
17,78,Medium,Yes,7,70,Medium,No,2,Low,High,Public,3,Male,66
28,78,High,No,9,73,High,Yes,2,Medium,Medium,Public,4,Female,70
16,64,High,Yes,5,65,Medium,Yes,3,Medium,High,Private,4,Female,65
23,89,Low,Yes,7,56,Low,Yes,4,Medium,Low,Private,4,Female,69
25,69,Medium,Yes,7,70,Low,No,1,High,High,Public,4,Female,65
14,68,High,No,6,65,Medium,Yes,1,High,Medium,Public,3,Male,63
20,77,Medium,No,5,98,Low,Yes,2,Low,High,Private,2,Female,67
1,69,High,Yes,6,97,Medium,Yes,1,Low,Medium,Public,3,Female,61
14,83,Medium,Yes,6,82,Medium,Yes,0,Medium,Medium,Public,2,Female,65
18,75,Low,Yes,8,95,Medium,Yes,1,Low,Low,Public,2,Female,66
13,78,Medium,Yes,8,88,High,Yes,0,High,Low,Public,3,Male,66
30,81,Medium,Yes,5,67,Medium,Yes,1,High,High,Public,1,Male,69
11,68,Medium,No,6,80,Medium,Yes,2,Medium,Medium,Public,3,Female,63
17,66,Low,No,6,61,Medium,Yes,1,High,Medium,Public,6,Male,65
21,95,Low,No,10,84,Low,Yes,0,High,Medium,Public,4,Male,67
29,77,High,Yes,7,52,Medium,Yes,2,High,Medium,Public,3,Female,69
11,76,Low,Yes,5,92,Medium,Yes,4,Medium,Low,Public,2,Male,65
27,61,Medium,No,6,79,Medium,Yes,1,Low,Medium,Public,3,Male,65
20,80,High,Yes,6,53,Medium,Yes,0,Low,Medium,Public,2,Male,65
14,82,Medium,Yes,8,94,Low,Yes,2,Low,High,Public,5,Female,67
23,82,Low,Yes,8,94,Medium,Yes,1,Medium,Medium,Public,2,Male,66
21,88,Medium,No,7,93,Medium,Yes,4,Low,Medium,Public,3,Female,72
16,67,Medium,No,7,89,High,Yes,3,Low,Medium,Public,3,Male,66
20,70,Medium,Yes,7,84,Low,No,2,Medium,High,Private,4,Male,65
18,92,High,Yes,7,70,Medium,Yes,1,Low,Medium,Public,3,Male,69
21,98,Medium,No,4,57,Medium,Yes,2,High,Low,Public,2,Female,68
24,65,Medium,No,7,64,Low,Yes,1,High,Medium,Public,1,Male,64
30,80,Low,No,6,67,Medium,Yes,3,Medium,Medium,Public,4,Female,69
13,69,Medium,Yes,5,68,Low,Yes,0,High,Medium,Public,1,Female,59
33,62,High,Yes,10,78,Medium,Yes,0,Medium,Medium,Private,3,Female,68
8,73,Medium,No,7,60,Medium,No,0,High,Medium,Private,3,Female,60
19,66,Medium,No,7,59,Medium,Yes,1,High,Medium,Public,3,Male,62
24,88,Low,Yes,6,86,Low,Yes,0,Low,Low,Public,3,Male,67
22,81,Low,Yes,8,50,High,Yes,4,Medium,Medium,Private,5,Female,68
16,66,Medium,Yes,5,57,High,Yes,3,Medium,Medium,Public,3,Female,64
19,60,Medium,Yes,7,72,High,Yes,3,Low,High,Public,3,Female,65
17,92,Low,Yes,6,57,Medium,Yes,2,Medium,Medium,Private,2,Female,65
16,67,High,No,8,98,Medium,Yes,0,Low,Low,Public,3,Female,63
25,84,Medium,Yes,6,84,Low,Yes,2,Medium,High,Public,3,Male,70
22,73,Low,Yes,9,72,Low,Yes,3,Medium,Medium,Public,3,Female,66
16,83,Medium,Yes,7,56,Low,Yes,4,High,Medium,Public,3,Female,68
25,73,Low,No,8,69,Medium,Yes,3,Medium,Medium,Private,3,Female,66
22,63,Low,No,8,83,Medium,Yes,3,Medium,Medium,Private,1,Male,63
25,69,High,Yes,9,98,Medium,Yes,1,Low,Medium,Public,3,Female,66
24,68,Medium,Yes,6,74,Medium,Yes,1,Medium,Medium,Public,3,Female,65
15,77,Medium,Yes,8,85,High,Yes,1,Low,Medium,Public,2,Male,66
17,86,High,Yes,4,60,High,Yes,2,High,Low,Private,3,Female,67
24,71,Medium,Yes,7,81,Medium,Yes,0,Low,Medium,Private,3,Male,66
24,60,Low,No,6,62,High,Yes,4,Low,High,Public,3,Female,63
20,81,Medium,Yes,5,60,Low,Yes,3,Medium,Medium,Public,4,Male,66
21,84,Medium,No,6,75,Low,No,1,High,Medium,Public,3,Male,67
28,99,Medium,Yes,6,61,Medium,No,1,Low,Medium,Public,3,Male,71
16,84,Medium,Yes,7,86,Medium,Yes,1,Low,Medium,Private,2,Female,67
23,79,Medium,Yes,6,97,Medium,Yes,1,High,Low,Public,4,Male,69
19,83,Medium,Yes,7,70,Medium,Yes,2,Low,Medium,Public,4,Female,67
19,97,High,Yes,6,66,High,Yes,2,Medium,Medium,Private,2,Female,72
27,93,High,No,6,59,High,Yes,2,Low,Medium,Private,4,Female,70
25,73,Medium,Yes,7,70,Low,Yes,0,Low,Medium,Private,4,Male,67
25,69,Low,Yes,7,78,Medium,Yes,0,Low,High,Public,3,Female,64
28,71,Medium,No,8,69,High,Yes,1,Medium,High,Private,1,Female,67
20,80,Low,No,8,81,Medium,Yes,3,Medium,Medium,Private,4,Male,69
24,90,Low,No,7,83,Medium,Yes,0,Low,Medium,Private,3,Male,68
18,80,Medium,No,8,55,Low,Yes,2,Low,Low,Public,3,Male,63
22,63,Medium,Yes,7,85,Medium,Yes,4,High,High,Public,3,Female,68
19,89,High,Yes,7,95,Medium,Yes,0,Medium,Medium,Public,3,Male,70
21,92,Medium,Yes,8,51,Low,Yes,0,Medium,Medium,Public,2,Male,66
24,72,High,No,6,78,High,Yes,0,Low,High,Public,6,Female,68
15,87,High,Yes,4,80,High,Yes,0,Low,Medium,Private,3,Male,67
33,77,Low,Yes,5,85,Medium,Yes,0,Low,Medium,Private,5,Female,69
14,96,Medium,Yes,9,69,High,Yes,0,Medium,Medium,Private,3,Female,66
13,94,Medium,Yes,7,91,Low,Yes,3,Low,Medium,Public,3,Male,68
27,81,Medium,Yes,7,77,Medium,Yes,2,Medium,Low,Public,2,Female,69
25,88,Medium,Yes,7,70,Low,Yes,1,Medium,Medium,Private,3,Male,70
24,95,Medium,Yes,8,86,High,Yes,1,Medium,High,Private,3,Male,74
24,80,Medium,Yes,7,96,High,Yes,0,Low,High,Public,0,Female,70
20,73,Medium,Yes,7,91,Low,Yes,1,Medium,High,Public,2,Male,66
15,90,High,Yes,8,97,Medium,Yes,1,Low,High,Private,3,Female,69
20,69,Medium,No,6,63,Low,Yes,0,Low,Medium,Public,3,Male,64
16,76,Low,Yes,8,56,Medium,No,1,Low,Medium,Public,1,Male,62
26,95,Low,No,7,77,Medium,Yes,0,Medium,Medium,Public,3,Female,70
19,89,High,Yes,7,52,Medium,Yes,2,Medium,Medium,Public,4,Male,68
15,76,Medium,Yes,6,84,Low,Yes,0,Medium,High,Public,3,Female,65
18,69,High,No,7,62,Low,Yes,3,Medium,Medium,Public,3,Male,65
22,74,High,Yes,6,73,Low,Yes,3,High,High,Public,4,Female,71
17,71,High,Yes,9,83,Low,Yes,2,Medium,Medium,Public,5,Male,66
15,67,Medium,No,4,74,Medium,Yes,0,Low,Medium,Public,3,Male,61
